text	gloss	category
bạn thích làm việc với loại người nào	BẠN LOẠI NGƯỜI LÀM VIỆC CÙNG THÍCH GÌ	Công việc
cuộc sống ở nông thôn thật yên bình và trong lành	NÔNG THÔN CUỘC SỐNG YÊN BÌNH TRONG LÀNH	Cuộc sống thường nhật
tôi đang có một thời gian tuyệt vời tôi thích nó	TÔI THỜI GIAN TUYỆT CÓ TÔI THÍCH	Mối quan hệ
bạn có xe máy không	BẠN XE MÁY CÓ KHÔNG	Cuộc sống thường nhật
cây xanh sử dụng ánh sáng mặt trời để thực hiện quang hợp	CÂY XANH MẶT TRỜI ÁNH SÁNG SỬ DỤNG ĐỂ THỰC HIỆN QUANG HỢP	Văn hóa và Giáo dục
xin đừng nói với tôi bạn đã mua nó	BẠN MUA RỒI NÓI TÔI ĐỪNG	Mối quan hệ
tôi vẫn chưa chắc chắn	TÔI CHẮC CHƯA NỮA VẪN	Công việc
chúng ta vẫn cần tìm một tủ quần áo và tủ nhiều ngăn	TỦ QUẦN ÁO TỦ NGĂN NHIỀU CHÚNG TA TÌM VẪN	Cuộc sống thường nhật
một mét thì bằng mười đềximét các em nhé	MỘT MÉT 10 DM BẰNG	Cuộc sống học đường
bạn đã nhận được cuộc phỏng vấn nào chưa	BẠN PHỎNG VẤN NÀO NHẬN CHƯA	Công việc
anh có từ điển anhtrung không	ANH TỪ ĐIỂN ANH TRUNG CÓ KHÔNG	Cuộc sống học đường
tác giả là ai vậy	TÁC GIẢ AI	Mối quan hệ
chắc chắn rồi tôi thực sự ghét bị kẹt xe	CHẮC CHẮN TÔI KẸT XE GHÉT	Mối quan hệ
chiếc xe đạp đâu rồi	XE ĐẠP Ở ĐÂU	Du lịch
wow đó là một gia đình rất lớn tất cả mọi người sống cùng nhau	ĐÓ MỘT GIA ĐÌNH RẤT LỚN TẤT CẢ MỌI NGƯỜI SỐNG CÙNG NHAU À	Mối quan hệ
trước tiên chúng ta cần lấy tấm bìa cứng màu đen	ĐẦU TIÊN CHÚNG TA TẤM BÌA CỨNG MÀU ĐEN LẤY	Cuộc sống thường nhật
đây tôi muốn một chỗ ngồi cạnh cửa sổ	TÔI CHỖ NGỒI CẠNH CỬA SỔ MUỐN	Du lịch
tuyệt bạn vui lòng cho tôi biết cách lấy nó thế nào	BẠN CHO TÔI BIẾT NÓ LẤY THẾ NÀO	Sức khỏe
thật sao tôi chưa từng nghe về nó	THẬT TÔI NGHE CHƯA	Mối quan hệ
bạn có nhận ra là bạn đã vượt đèn đỏ không	BẠN ĐÈN ĐỎ VỪA VƯỢT LÀ BIẾT CÓ KHÔNG	Cuộc sống thường nhật
tôi chỉ muốn đến thăm gia đình một ngày nào đó	TÔI GIA ĐÌNH ĐẾN THĂM MỘT NGÀY MUỐN	Mối quan hệ
các bạn học sinh đang nô đùa vui vẻ trước cổng trường	CỔNG TRƯỜNG CÁC BẠN HỌC SINH NÔ ĐÙA VUI VẺ	Cuộc sống thường nhật
bạn cảm thấy thế nào rồi	BẠN CẢM THẤY THẾ NÀO	Mối quan hệ
tôi thích đi du lịch mạo hiểm	TÔI DU LỊCH MẠO HIỂM THÍCH	Du lịch
người thợ mộc dùng búa đóng chiếc đinh vào tấm gỗ	NGƯỜI THỢ MỘC TẤM GỖ BÚA CHIẾC ĐINH ĐÓNG	Công việc
anh ấy cảm thấy bị bỏ rơi khi bạn bè đi chơi	ANH ẤY CẢM THẤY BỊ BỎ RƠI KHI BẠN BÈ ĐI CHƠI	Mối quan hệ
bà tôi năm nay đã 90 tuổi nhưng vẫn còn rất minh mẫn	NĂM NAY BÀ TÔI TUỔI 90 NHƯNG RẤT MINH MẪN	Sức khỏe
tôi sẽ đến lớp tiếng anh nó sẽ bắt đầu trong năm phút nữa tôi phải chạy	LỚP TIẾNG ANH ĐẾN PHẢI 5 PHÚT NỮA LỚP BẮT ĐẦU CHẠY	Mối quan hệ
những gì đã được thực hiện	THỰC HIỆN RỒI CÁI GÌ	Chính trị
vâng và nhanh lên	VÂNG NHANH	Thái độ và Cảm xúc
tôi có thể có hai vé cho bạn không	TÔI HAI VÉ MUA GIÚP BẠN CÓ THỂ KHÔNG	Mối quan hệ
mexico nổi tiếng với những bãi biển đẹp và nền văn hóa độc đáo	MEXICO NHỮNG BÃI BIỂN ĐẸP VÀ NỀN VĂN HOÁ ĐỘC ĐÁO CÓ	Du lịch
anh ấy mong muốn có một công việc ổn định lâu dài	ANH ẤY CÔNG VIỆC ỔN ĐINH LÂU DÀI MUỐN CÓ	Công việc
bạn không thấy nhiều người ở đó chỉ cần bên phải của bạn	BẠN KHÔNG THẤY NHIỀU NGƯỜI ĐÓ BÊN PHẢI BẠN	Mối quan hệ
thật tuyệt bạn bao nhiêu tuổi	TUYỆT BẠN TUỔI BAO NHIÊU	Mối quan hệ
chị và em dâu rất hòa thuận và yêu thương nhau	CHỊ EM DÂU HOÀ THUẬN YÊU THƯƠNG	Mối quan hệ
em cần học chắc ngữ pháp để viết văn cho hay	EM NGỮ PHÁP HIỂU RÕ ĐỂ VĂN VIẾT HAY CẦN	Văn hóa và Giáo dục
tại sao bạn nghĩ nó không cao hơn thế	BẠN NGHĨ NÓ CAO HƠN KHÔNG TẠI SAO	Công việc
bạn đã sẵn sàng cho một số thực phẩm đặc biệt vào ngày lạnh	BẠN ĐỒ ĂN ĐẶC BIỆT CHO NGÀY LẠNH SẴN SÀNG RỒI	Sức khỏe
xin lỗi lối ra ở đâu	LỐI RA Ở ĐÂU	Du lịch
này tóc tôi thế là đủ rồi	TÓC CỦA TÔI ĐỦ RỒI	Mối quan hệ
nghe hay đấy chúng ta sẽ lấy hai tô tôm cuộn	HAY ĐẤY CHÚNG TA TÔM CUỘN TÔ HAI LẤY	Cuộc sống thường nhật
chúng ta cùng xem bọn trẻ học về thời tiết nhé	CHÚNG TA TRẺ EM THỜI TIẾT HỌC XEM CÙNG	Cuộc sống học đường
trẻ em rất háo hức đón tết trung thu để rước đèn	TRẺ EM LỄ TRUNG THU ĐÓN HÁO HỨC VUI VẺ ĐỂ RƯỚC ĐÈN	Văn hóa và Giáo dục
vâng bạn nói đúng nhưng chúng ta phải biết cách tận dụng nó	BẠN NÓI ĐÚNG NHƯNG CHÚNG TA NÓ BIẾT SỬ DỤNG PHẢI	Mối quan hệ
có lẽ anh ta có năng khiếu trong việc đó	ANH ẤY NĂNG KHIẾU CÓ LẼ THẬT CÓ	Thái độ và Cảm xúc
này anh bạn nó treo thế nào	ANH BẠN TREO ỔN KHÔNG	Mối quan hệ
có phải ông hải không	ÔNG HẢI PHẢI KHÔNG	Cuộc sống thường nhật
thầy hiệu trưởng đang phát biểu trong buổi lễ khai giảng năm học	THẦY HIỆU TRƯỞNG PHÁT BIỂU TRONG BUỔI LỄ KHAI GIẢNG NĂM HỌC	Cuộc sống học đường
bạn có thể gọi taxi đón tôi và đưa tôi đến sân bay trước 1 giờ chiều không	BẠN GỌI TAXI ĐÓN TÔI ĐẾN SÂN BAY 1 GIỜ CHIỀU TRƯỚC ĐƯỢC KHÔNG	Cuộc sống thường nhật
câu thơ của nguyễn du đã đi vào lòng người bao thế hệ	CÂU THƠ CỦA NGUYỄN DU MỌI NGƯỜI THUỘC NHIỀU	Văn hóa và Giáo dục
làm thế nào với môn toán 	MÔN TOÁN LÀM THẾ NÀO	Mối quan hệ
tôi cảm thấy hơi buồn nôn sau chuyến đi xe dài	TÔI CẢM THẤY BUỒN NÔN SAU CHUYẾN ĐI DÀI	Sức khỏe
không tại sao chúng ta không cắn một miếng ở quán cà phê bên cạnh	CHÚNG TA QUÁN CÀ PHÊ BÊN CẠNH ĂN KHÔNG TẠI SAO	Cuộc sống thường nhật
anh ấy năm nay đã bước sang tuổi 33 rồi	NĂM NAY ANH ẤY BƯỚC SANG TUỔI 33	Cuộc sống thường nhật
tôi thực sự cảm thấy hạnh phúc khi ở bên cạnh bạn bè	KHI BÊN CẠNH BẠN BÈ TÔI HẠNH PHÚC	Thái độ và Cảm xúc
em có thể lấy giúp chị một cốc nước được không	EM CỐC NƯỚC 1 LẤY GIÚP ĐƯỢC KHÔNG	Cuộc sống thường nhật
khí hậu đang biến đổi nhanh chóng gây ra nhiều hệ lụy	KHÍ HẬU BIẾN ĐỔI NHANH HẬU QUẢ XẤU GÂY RA	Chính trị
coi chừng patrick	CẨN THẬN PATRICK	Mối quan hệ
xin lỗi bạn có thể cho tôi biết thành long là ai không	THÀNH LONG LÀ AI NÓI CHO TÔI BIẾT CÓ THỂ KHÔNG	Mối quan hệ
xin chào tôi muốn đăng ký gói cước internet cho gia đình mình	CHÀO TÔI GÓI CƯỚC INTERNET ĐĂNG KÍ GIA ĐÌNH CỦA TÔI CHO	Cuộc sống thường nhật
đúng vậy an toàn là quan trọng	ĐÚNG AN TOÀN QUAN TRỌNG	Văn hóa và Giáo dục
hoa sen là quốc hoa biểu tượng cho vẻ đẹp việt nam	HOA SEN LÀ QUỐC HOA BIỂU TƯỢNG CHO VẺ ĐẸP VIỆT NAM	Văn hóa và Giáo dục
người sĩ quan quân đội luôn nêu cao tinh thần trách nhiệm	SĨ QUAN QUÂN ĐỘI TINH THẦN TRÁCH NHIỆM NÊU CAO LUÔN	Công việc
chúng khá đẹp nhưng tôi sợ rằng chúng khá đắt tiền	CHÚNG ĐẸP THẬT NHƯNG TÔI ĐẮT HƠI E LÀ	Cuộc sống thường nhật
chắc chắn họ đã luyện tập rất nhiều sự kiên trì đã làm cho họ có ngày hôm nay	ĐÃ HỌ LUYỆN TẬP NHIỀU CHẮC CHẮN HỌ LÀM ĐƯỢC VÌ KIÊN TRÌ	Mối quan hệ
mọi người thường đi du lịch vào dịp nghỉ tết dương	MỌI NGƯỜI THƯỜNG DU LỊCH DỊP TẾT DƯƠNG LỊCH	Văn hóa và Giáo dục
chúng ta chỉ cần hai thứ 	CHÚNG TA ĐỒ VẬT 2 CẦN	Cuộc sống thường nhật
chúng ta đang làm gì vậy	CHÚNG TA LÀM GÌ VẬY	Cuộc sống học đường
mọi thứ đã ổn trong vài tháng qua	3 THÁNG MỌI THỨ ỔN RỒI	Công việc
bạn có ba máy ảnh bạn có phải là một nhiếp ảnh gia	BẠN MÁY ẢNH BA BẠN NHIẾP ẢNH GIA PHẢI KHÔNG	Du lịch
bạn đã ở mỹ lâu chưa	BẠN Ở MỸ LÂU CHƯA	Mối quan hệ
nếu mọi chuyện không tốt hơn trong vài ngày tôi sẽ tìm một số giải pháp khác	NẾU 2 3 NGÀY MỌI CHUYỆN KHÔNG TỐT TÔI CÁCH LÀM KHÁC TÌM	Sức khỏe
tôi không sao nhưng chúng tôi không có bia và đồ đạc	TÔI KHÔNG SAO NHƯNG CHÚNG TÔI BIA ĐỒ ĐẠC KHÔNG CÓ	Cuộc sống thường nhật
bạn có một tài khoản với chúng tôi phải không nếu vậy sẽ không có vấn đề gì	BẠN CHÚNG TÔI VỚI TÀI KHOẢN CÓ RỒI ĐÚNG KHÔNG NẾU VẬY KHÔNG SAO CẢ	Tài chính
bạn có thể cho tôi biết đúng thời điểm xin vui lòng	BẠN CÓ THỂ CHO TÔI BIẾT GIỜ CHÍNH XÁC ĐƯỢC KHÔNG	Mối quan hệ
em tìm mãi mà vẫn chưa ra lời giải cho bài toán khó	EM LỜI GIẢI BÀI TOÁN KHÓ TÌM RA CHƯA	Cuộc sống học đường
đó là tim bạn tôi sống gần đây	ĐÓ TIM BẠN TÔI SỐNG GẦN ĐÂY	Du lịch
nhà bạn có đủ ánh sáng không	NHÀ BẠN ÁNH SÁNG ĐỦ CÓ KHÔNG	Cuộc sống thường nhật
công ty đang gặp nhiều khó khăn về vấn đề tài chính	CÔNG TY VẤN ĐỀ TÀI CHÍNH KHÓ KHĂN CÓ NHIỀU	Tài chính
anh rể của tôi là một người đàn ông rất tốt bụng	TÔI ANH RỂ LÀ NGƯỜI ĐÀN ÔNG 1 TỐT BỤNG	Mối quan hệ
mỗi buổi sáng tôi đều chạy bộ quanh công viên gần nhà	MỖI BUỔI SÁNG TÔI CHẠY XUNG QUANH CÔNG VIÊN NHÀ GẦN	Sức khỏe
giáo viên chuẩn bị nhiều đồ dùng dạy học cho bài giảng mới	GIÁO VIÊN ĐỒ DÙNG DẠY HỌC BÀI MỚI CHUẨN BỊ NHIỀU CẦN	Cuộc sống học đường
tôi sẽ uống nước ép cà chua và trà đá	TÔI CÀ CHUA NƯỚC ÉP TRÀ ĐÁ UỐNG	Cuộc sống thường nhật
cậu bé nhặt một hòn đá ném xuống mặt hồ phẳng lặng	CẬU BÉ HÒN ĐÁ MỘT NHẶT MẶT HỒ PHẲNG LẶNG NÉM XUỐNG	Cuộc sống thường nhật
bạn h là một học sinh rất chăm chỉ và ngoan ngoãn	BẠN HÙNG HỌC SINH 1 CHĂM CHỈ NGOAN NGOÃN	Cuộc sống học đường
dòng nước xoáy rất nguy hiểm cho những người đi bơi	DÒNG NƯỚC XOÁY NHỮNG NGƯỜI ĐI BƠI NGUY HIỂM	Du lịch
mẹ treo quần áo lên chiếc mắc áo mới mua	MẸ QUẦN ÁO TREO LÊN CHIẾC TỦ QUẦN ÁO MUA MỚI	Cuộc sống thường nhật
bạn có muốn ngồi gần sàn nhảy không	BẠN SÂN KHẤU NGỒI GẦN MUỐN KHÔNG	Cuộc sống thường nhật
chúng tôi quyết định đi du lịch đến một tỉnh miền núi	CHÚNG TÔI DU LỊCH ĐI ĐẾN TỈNH MIỀN NÚI 1	Du lịch
tuyệt vời giờ chúng ta cần thêm mầm lúa mì	TUYỆT VỜI BÂY GIỜ CHÚNG TA LÚA MÌ MẦM THÊM	Cuộc sống thường nhật
bạn lên đây xem nào	LÊN ĐÂY XEM	Cuộc sống thường nhật
sinh viên cần rèn luyện kỹ năng thuyết trình trước đám đông	SINH VIÊN KỸ NĂNG THUYẾT TRÌNH TRÌNH BÀY RÈN LUYỆN CẦN TRƯỚC ĐÁM ĐÔNG	Cuộc sống học đường
gia đình tôi đã có kỳ nghỉ tuyệt vời tại bãi biển vũng tàu	GIA ĐÌNH TÔI KÌ NGHỈ BÃI BIỂN ĐÀ NẴNG TUYỆT VỜI CÓ	Du lịch
và không có chuyện cướp máy bay	MÁY BAY CƯỚP KHÔNG	Du lịch
cô ấy được mọi người yêu mến vì đức tính siêng năng	CÔ ẤY MỌI NGƯỜI YÊU MẾN ĐƯỢC VÌ SIÊNG NĂNG	Thái độ và Cảm xúc
xin lỗi nhưng bạn có thể cho tôi biết đường đến nhà ga không	BẠN TÔI ĐƯỜNG GA TÀU CHỈ GIÚP CÓ THỂ KHÔNG	Cuộc sống thường nhật
đó là một tác phẩm điêu khắc trái cây đầu bếp của bạn là nghệ sĩ thực sự	ĐÓ TÁC PHẨM TRÁI CÂY ĐIÊU KHẮC ĐẦU BẾP CỦA BẠN NGHỆ SĨ	Cuộc sống thường nhật
cậu ấy đâu rồi	ANH ẤY Ở ĐÂU	Cuộc sống thường nhật
chúng ta cần xác định mục tiêu rõ ràng cho dự án này	CHÚNG TA DỰ ÁN NÀY MỤC TIÊU RÕ RÀNG XÁC ĐỊNH CẦN	Công việc
bạn có đánh răng hai lần một ngày như nha sĩ khuyên không	BẠN ĐÁNH RĂNG 1 NGÀY 2 LẦN NHƯ NHA SĨ KHUYÊN CÓ KHÔNG	Mối quan hệ
điều này là thú vị	ĐIỀU NÀY THÚ VỊ	Cuộc sống thường nhật
con sẽ đi mẹ ạ	CON ĐI SẼ	Mối quan hệ
ok chúng ta hãy làm tính toán	ĐƯỢC CÙNG TÍNH THỬ NÀO	Cuộc sống học đường
thật tuyệt vời khi cô ấy được thêm vào lớp học của tôi	TUYỆT VỜI KHI CÔ ẤY LỚP CỦA TÔI THÊM	Cuộc sống thường nhật
chúng ta xem một số trẻ em chơi thể thao trong khi chờ súp nấu	KHI SÚP NẤU CHỜ CHÚNG TA XEM TRẺ EM THỂ THAO CHƠI	Sức khỏe
tôi sợ tôi sẽ căng thẳng trong cuộc phỏng vấn	TÔI BUỔI PHỎNG VẤN CĂNG THẲNG SỢ	Mối quan hệ
vâng đó là một hành trình rất thú vị cảm ơn bà	HÀNH TRÌNH THÚ VỊ CẢM ƠN	Tài chính
xin lỗi thưa ngài chúng tôi chỉ còn bàn trong phòng ăn chính	NGÀI XIN LỖI CHÚNG TÔI PHÒNG ĂN CHÍNH TRONG CHỈ CÒN BÀN THƯA	Cuộc sống thường nhật
bạn đã nhận được bất kỳ danh hiệu khác	BẠN DANH HIỆU KHÁC NHẬN CHƯA	Công việc
chúng tôi đã gọi một chiếc taxi để đi ra sân bay	CHÚNG TÔI TAXI GỌI RA SÂN BAY	Du lịch
bạn muốn nó được giao vào ngày sau ngày mai	BẠN NÓ MUỐN GIAO VÀO NGÀY MAI SAU	Cuộc sống thường nhật
em chân thành xin lỗi vì đã mắc phải sai lầm	EM XIN LỖI VÌ MẮC SAI LẦM	Thái độ và Cảm xúc
kiểm tra làm ơn	TÔI TÍNH TIỀN GIÚP VỚI	Cuộc sống thường nhật
nó là bốn cửa hay hai cửa	XE ĐÓ BỐN CỬA HAI CỬA VẬY	Cuộc sống thường nhật
bà hái mấy quả khế chua trong vườn để nấu canh cá	BÀ QUẢ KHẾ CHUA HÁI TRONG VƯỜN ĐỂ NẤU CANH CÁ	Cuộc sống thường nhật
cảm ơn tôi cảm thấy như vậy	CẢM ƠN TÔI CẢM THẤY VẬY CŨNG	Mối quan hệ
vâng có ổn với bạn không	ỔN BẠN CHỨ	Mối quan hệ
các cử tri đang lần lượt vào phòng kín để thực hiện bỏ phiếu	CÁC CỬ TRI PHÒNG NHỎ BÍ MẬT VÀO LẦN LƯỢT ĐỂ THỰC HIỆN BẦU CỬ	Chính trị
gia đình nhà trai mang lễ vật đến nhà gái hỏi vợ	GIA ĐÌNH NHÀ TRAI LỄ VẬT MANG ĐẾN NHÀ GÁI ĐỂ HỎI VỢ	Văn hóa và Giáo dục
cảm ơn chào buổi tối bạn dean	CHÀO BUỔI TỐI	Mối quan hệ
chỉ còn 30 phút nữa thôi	CÒN 30 PHÚT	Mối quan hệ
giọt nước tràn ly	LY NƯỚC TRÀN	Thái độ và Cảm xúc
bạn tính phí gì	BẠN PHÍ GÌ	Cuộc sống thường nhật
mọi người phải mặc áo phao khi đi thuyền trên vịnh	KHI ĐI THUYỀN TRÊN VỊNH MỌI NGƯỜI ÁO PHAO PHẢI MẶC	Du lịch
tôi cần vài đô la mỹ	TÔI ĐÔ LA MĨ CẦN	Tài chính
không cảm ơn bạn	KHÔNG CẢM ƠN	Cuộc sống thường nhật
anh ta đang gặp bạn	ANH ẤY GẶP BẠN	Công việc
nhiều bạn trẻ đang có xu hướng khởi nghiệp rất sáng tạo	BẠN TRẺ XU HƯỚNG KHỞI NGHIỆP RẤT SÁNG TẠO CÓ NHIỀU	Công việc
vâng tôi có thể nhưng không tốt lắm	VÂNG TÔI BIẾT NHƯNG GIỎI KHÔNG LẮM	Mối quan hệ
anh ấy quyết định xăm một hình nhỏ trên cánh tay	ANH ẤY QUYẾT ĐỊNH CÁNH TAY HÌNH NHỎ XĂM	Cuộc sống thường nhật
bạn muốn chăm sóc tôi mãi mãi tôi sẽ lấy bạn chứ	BẠN TÔI CHĂM SÓC MÃI MÃI TÔI BẠN LẤY ĐƯỢC KHÔNG	Mối quan hệ
tất nhiên chúng tôi làm đó là trách nhiệm của chủ nhà	TẤT NHIÊN CHÚNG TÔI LÀM ĐÓ TRÁCH NHIỆM CỦA CHỦ NHÀ	Cuộc sống thường nhật
ơ tôi quên mất chìa khóa ở nhà rồi phải làm sao bây giờ	TÔI CHÌA KHOÁ QUÊN MẤT Ở NHÀ BÂY GIỜ LÀM SAO	Cuộc sống thường nhật
chúng ta hãy ra ngoài và lấy một vài chai bia tối nay	TỐI NAY CHÚNG TA RA NGOÀI VÀ LẤY CHAI BIA ĐI	Mối quan hệ
xin chào bạn james có chuyện gì vậy	CHÀO CHUYỆN GÌ CÓ	Cuộc sống thường nhật
nó là cho một cuốn sách	NÓ CUỐN SÁCH CHO	Mối quan hệ
bạn có biết tại sao hôm nay tôi kéo bạn lại không	BẠN BIẾT HÔM NAY TÔI BẠN KÉO LẠI TẠI SAO	Chính trị
rất tiếc hiện tại chúng tôi hết bít tết	BÂY GIỜ MÓN BÍT TẾT HẾT	Du lịch
tôi không biết có thể đó là vấn đề cá nhân	TÔI RÕ KHÔNG CHUYỆN CÁ NHÂN CHẮC THÔI	Mối quan hệ
bữa trưa	BỮA TRƯA	Cuộc sống thường nhật
vâng hầu hết mọi người đến từ văn phòng của tôi	VÂNG MỌI NGƯỜI ĐẾN VĂN PHÒNG CỦA TÔI	Mối quan hệ
tôi được mời đến dự đám cưới của họ	ĐÁM CƯỚI CỦA HỌ TÔI MỜI ĐẾN	Mối quan hệ
vườn bách thú có một con công đang xòe đuôi rực rỡ	VƯỜN BÁCH THÚ CON CÔNG ĐUÔI XOÈ RỰC RỠ CÓ	Du lịch
tôi rất vui vì bạn đang rất hạnh phúc	TÔI RẤT VUI VÌ BẠN RẤT HẠNH PHÚC	Thái độ và Cảm xúc
bây giờ tốt hơn nhiều	BÂY GIỜ TỐT HƠN NHIỀU	Cuộc sống thường nhật
dạo này bạn có vẻ rất bận rộn bạn đang làm gì vậy	DẠO NÀY BẠN RẤT BẬN RỘN BẠN LÀM GÌ	Mối quan hệ
đúng mặc dù tôi đã đặt báo thức tối qua rồi	ĐÚNG TỐI QUA TÔI BÁO THỨC ĐẶT RỒI	Công việc
con đường trở nên vắng lặng khi đêm dần buông xuống	ĐÊM BUÔNG XUỐNG CON ĐƯỜNG VẮNG LẶNG TRỞ NÊN	Cuộc sống thường nhật
xin chào ngân hàng impf tôi có thể giúp gì cho bạn	TÔI GIÚP BẠN GÌ	Tài chính
bác sĩ đeo gang tay cẩn thận trước khi phẫu thuật	BÁC SĨ GĂNG TAY ĐEO CẨN THẬN TRƯỚC KHI PHẪU THUẬT	Sức khỏe
bạn có lý do gì để bỏ học	HỌC BỎ BẠN LÝ DO GÌ	Mối quan hệ
anh ta vì tính sĩ diện nên không bao giờ thừa nhận sai lầm của mình	VÌ TÍNH SĨ DIỆN NÊN ANH TA SAI LẦM THỪA NHẬN KHÔNG BAO GIỜ	Thái độ và Cảm xúc
mẹ tôi nấu một tô bánh canh cá lóc rất ngon	MẸ TÔI NẤU TÔ CANH CÁ LÓC 1 NGON	Cuộc sống thường nhật
anh ấy có nhiệm vụ điều phối công việc cho cả nhóm	NHIỆM VỤ CỦA ANH ẤY CÔNG VIỆC CẢ NHÓM ĐIỀU PHỐI	Công việc
xin chào tôi có thể đặt lịch hẹn vào đầu buổi chiều nay không	CHIỀU NAY TÔI LỊCH HẸN ĐẶT ĐƯỢC KHÔNG	Sức khỏe
ông đã làm rất tốt nhưng có một điều ông nên thu hẹp chủ đề lại	ÔNG LÀM TỐT NHƯNG ÔNG CHỦ ĐỀ THU HẸP	Cuộc sống học đường
hà giang là điểm đến du lịch hấp dẫn ở vùng núi phía bắc	HÀ GIANG DU LỊCH ĐIỂM ĐẾN HẤP DẪN Ở VÙNG NÚI TÂY BẮC	Du lịch
tôi cần phô tô tài liệu này thành mười bản cho cuộc họp	TÔI TÀI LIỆU NÀY PHÔ TÔ BẢN 10 CHO CUỘC HỌP	Công việc
điều gì sẽ được đề cập trong định hướng	MONG MUỐN ĐIỀU GÌ	Công việc
vâng anh ấy đang chờ bạn trong văn phòng của mình lối này làm ơn	ANH ẤY BẠN CHỜ VĂN PHÒNG LỐI NÀY	Công việc
